idcliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_de_internet,antivirus,backup,protecao__de_dipositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,total_mensal,gasto_total,contas_diarias,meses_contrato_trimestre
1867-tjhts,0,Mulher,0,0,0,58,1,1,fiber optic,1,0,0,0,0,0,month-to-month,1,bank transfer (automatic),79.8,4526.85,2.6599999999999997,20º Trimestre
1871-mowrm,1,Homem,0,1,0,12,1,0,fiber optic,1,0,0,1,0,0,month-to-month,0,bank transfer (automatic),80.85,866.45,2.695,5º Trimestre
1872-ebwsc,0,Mulher,0,0,0,29,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,mailed check,20.35,617.35,0.6783333333333333,10º Trimestre
1875-qivme,1,Mulher,0,1,0,2,1,1,fiber optic,0,0,1,1,1,1,month-to-month,1,electronic check,104.4,242.8,3.48,1º Trimestre
1877-hkbqx,0,Mulher,0,0,0,11,1,0,dsl,1,0,0,1,0,0,one year,1,mailed check,54.6,617.85,1.82,4º Trimestre
1891-fzysa,1,Homem,1,1,0,69,1,1,fiber optic,0,1,0,0,1,0,month-to-month,1,electronic check,89.95,6143.15,2.9983333333333335,24º Trimestre
1891-qrqsa,0,Homem,1,1,1,64,1,1,fiber optic,1,0,1,1,1,1,two year,1,bank transfer (automatic),111.6,7099.0,3.7199999999999998,22º Trimestre
1891-uawwu,1,Mulher,1,1,0,20,1,1,fiber optic,0,0,1,0,1,0,month-to-month,0,electronic check,90.8,1951.0,3.0266666666666664,7º Trimestre
1894-igfsg,1,Mulher,0,0,0,22,1,0,fiber optic,0,0,0,0,1,1,month-to-month,0,electronic check,89.25,1907.85,2.975,8º Trimestre
1895-qtkdo,0,Mulher,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,credit card (automatic),43.95,43.95,1.465,1º Trimestre
1897-okvmw,0,Mulher,0,1,1,64,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.6,5817.45,3.02,22º Trimestre
1897-rcfum,0,Mulher,0,1,1,39,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,mailed check,24.2,914.6,0.8066666666666666,14º Trimestre
1898-jsndc,0,Mulher,0,0,0,39,1,0,dsl,0,1,0,0,1,0,one year,1,credit card (automatic),58.6,2224.5,1.9533333333333334,14º Trimestre
1899-vxwxm,1,Homem,0,0,0,48,1,1,fiber optic,0,1,1,0,1,1,one year,1,credit card (automatic),106.1,5082.8,3.5366666666666666,17º Trimestre
1902-xbtfb,1,Homem,0,0,1,22,1,0,fiber optic,0,1,1,0,1,0,month-to-month,1,electronic check,89.4,2001.5,2.98,8º Trimestre
1904-wajaa,0,Mulher,0,1,1,24,1,1,dsl,1,1,1,0,0,0,two year,0,electronic check,64.35,1558.65,2.145,9º Trimestre
1905-oeilc,0,Mulher,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.5,19.5,0.65,1º Trimestre
1907-ubqfc,1,Homem,1,0,0,10,1,0,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,72.85,688.65,2.4283333333333332,4º Trimestre
1907-ylnyw,0,Homem,0,0,0,8,1,0,dsl,1,0,1,0,0,1,month-to-month,1,electronic check,66.7,579.0,2.2233333333333336,3º Trimestre
1910-fmxjm,0,Mulher,0,1,0,36,1,0,fiber optic,0,0,0,0,0,1,month-to-month,0,electronic check,80.4,2937.65,2.68,13º Trimestre
1915-iofgu,1,Mulher,0,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,0,electronic check,70.5,70.5,2.35,1º Trimestre
1915-oakwd,0,Mulher,0,0,1,16,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,bank transfer (automatic),19.3,360.35,0.6433333333333333,6º Trimestre
1918-zbfqj,1,Mulher,0,0,0,13,1,0,fiber optic,0,1,1,0,0,0,month-to-month,1,electronic check,79.25,1111.65,2.6416666666666666,5º Trimestre
1919-rtpqd,0,Homem,0,1,1,7,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,44.75,333.65,1.4916666666666667,3º Trimestre
1921-kysay,0,Mulher,0,0,0,41,1,1,dsl,0,0,1,1,0,1,one year,1,electronic check,68.6,2877.05,2.2866666666666666,14º Trimestre
1925-gmvbw,0,Mulher,0,0,0,5,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,credit card (automatic),20.55,96.1,0.685,2º Trimestre
1925-lfczz,0,Homem,1,0,0,55,0,0,dsl,0,0,1,0,1,1,one year,1,bank transfer (automatic),50.05,2743.45,1.6683333333333332,19º Trimestre
1925-tible,1,Mulher,0,1,0,7,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,86.5,582.5,2.8833333333333333,3º Trimestre
1926-quznn,0,Mulher,0,1,0,72,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,bank transfer (automatic),25.25,1841.2,0.8416666666666667,25º Trimestre
1927-qewmy,0,Mulher,0,1,0,72,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),20.5,1502.25,0.6833333333333333,25º Trimestre
1928-bxyiv,0,Homem,0,0,0,1,1,1,dsl,1,1,0,0,0,0,month-to-month,0,electronic check,61.15,61.15,2.038333333333333,1º Trimestre
1929-zcbhe,0,Homem,0,1,1,47,0,0,dsl,1,0,1,1,0,0,one year,0,electronic check,40.3,1794.8,1.3433333333333333,16º Trimestre
1930-bzlhi,0,Homem,0,0,0,21,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,mailed check,20.35,422.7,0.6783333333333333,8º Trimestre
1930-qpbvz,0,Homem,0,1,1,68,1,0,fiber optic,1,1,0,1,0,1,two year,0,bank transfer (automatic),95.1,6683.4,3.17,23º Trimestre
1930-wnxsb,0,Homem,0,1,1,58,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,electronic check,92.85,5305.05,3.0949999999999998,20º Trimestre
1932-uedcx,0,Homem,1,1,0,33,1,1,fiber optic,0,1,0,0,1,1,month-to-month,1,bank transfer (automatic),100.6,3270.25,3.353333333333333,12º Trimestre
1934-mkpxs,0,Homem,0,1,1,33,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,credit card (automatic),20.1,620.55,0.67,12º Trimestre
1934-sjvjk,1,Homem,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,20.15,20.15,0.6716666666666666,1º Trimestre
1935-imvbb,0,Homem,0,1,0,56,1,0,fiber optic,0,0,0,0,1,1,month-to-month,0,mailed check,89.7,4952.95,2.99,19º Trimestre
1936-czakf,0,Homem,0,1,0,49,0,0,dsl,0,1,0,0,1,1,two year,0,credit card (automatic),49.65,2409.9,1.655,17º Trimestre
1936-uafeh,0,Mulher,0,0,0,68,1,1,fiber optic,1,1,0,1,1,1,two year,0,credit card (automatic),110.25,7279.35,3.675,23º Trimestre
1937-otuky,0,Mulher,0,1,0,72,1,1,fiber optic,1,0,1,1,1,0,two year,1,bank transfer (automatic),98.2,7015.9,3.2733333333333334,25º Trimestre
1941-hosam,0,Homem,0,1,1,1,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,90.1,90.1,3.003333333333333,1º Trimestre
1942-oqfrw,0,Homem,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,44.0,44.0,1.4666666666666666,1º Trimestre
1945-xisks,0,Mulher,0,1,0,67,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,mailed check,19.65,1335.2,0.6549999999999999,23º Trimestre
1950-ksvvj,0,Mulher,0,1,0,45,1,1,fiber optic,1,1,1,1,1,1,one year,0,mailed check,113.3,5032.25,3.7766666666666664,16º Trimestre
1951-ieyxm,0,Homem,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,1,credit card (automatic),90.6,6441.85,3.02,25º Trimestre
1952-dvvsw,0,Mulher,0,1,0,10,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,mailed check,20.1,184.4,0.67,4º Trimestre
1955-ibmmb,0,Homem,0,0,0,59,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,bank transfer (automatic),20.2,1192.3,0.6733333333333333,20º Trimestre
1956-yifge,0,Homem,0,1,1,22,1,0,fiber optic,0,1,1,0,1,1,one year,1,mailed check,100.05,2090.25,3.335,8º Trimestre
1958-rnrks,0,Homem,0,1,0,30,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,49.9,1441.95,1.6633333333333333,11º Trimestre
1960-uotym,0,Homem,0,1,1,52,1,0,dsl,1,1,1,0,1,1,two year,0,electronic check,79.2,4016.3,2.64,18º Trimestre
1960-uycnn,0,Homem,0,0,0,10,1,1,fiber optic,0,1,1,0,0,1,month-to-month,1,electronic check,95.25,1021.55,3.175,4º Trimestre
1963-svucv,1,Homem,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,45.3,45.3,1.51,1º Trimestre
1963-vaukv,1,Mulher,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,20.4,20.4,0.6799999999999999,1º Trimestre
1964-svlea,0,Homem,0,0,0,20,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,mailed check,19.7,415.9,0.6566666666666666,7º Trimestre
1965-aktsx,1,Mulher,1,0,0,14,1,1,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,78.95,1101.85,2.631666666666667,5º Trimestre
1965-ddbwu,1,Homem,0,0,0,16,1,1,fiber optic,0,0,0,1,0,1,month-to-month,1,credit card (automatic),89.05,1448.6,2.9683333333333333,6º Trimestre
1970-kkfwl,0,Mulher,0,0,0,35,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),23.3,797.1,0.7766666666666667,12º Trimestre
1971-dtczb,0,Mulher,0,1,0,72,1,1,dsl,1,1,1,1,1,1,two year,1,bank transfer (automatic),90.95,6468.6,3.0316666666666667,25º Trimestre
1972-xmuwv,0,Mulher,0,1,0,65,1,0,dsl,0,0,0,1,1,0,two year,1,credit card (automatic),59.8,3808.2,1.9933333333333332,22º Trimestre
1976-azzpj,0,Homem,0,1,0,7,0,0,dsl,1,1,0,0,0,0,month-to-month,0,mailed check,34.2,256.6,1.1400000000000001,3º Trimestre
1976-cfocs,1,Mulher,1,1,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,46.0,46.0,1.5333333333333334,1º Trimestre
1977-stdki,1,Mulher,1,0,0,1,1,0,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,73.0,73.0,2.433333333333333,1º Trimestre
1980-kxvpm,1,Mulher,1,0,0,3,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card (automatic),75.05,256.25,2.5016666666666665,2º Trimestre
1981-inrfu,1,Mulher,0,0,0,2,1,0,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,79.75,164.5,2.658333333333333,1º Trimestre
1982-febtd,0,Mulher,0,1,1,23,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,credit card (automatic),25.6,514.75,0.8533333333333334,8º Trimestre
1984-fcowb,1,Mulher,0,1,0,70,1,1,fiber optic,0,1,1,1,1,1,one year,1,electronic check,109.5,7674.55,3.65,24º Trimestre
1984-gpteh,0,Mulher,0,0,0,29,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,electronic check,25.15,702.0,0.8383333333333333,10º Trimestre
1985-mbryp,0,Mulher,0,0,0,43,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,bank transfer (automatic),19.65,779.25,0.6549999999999999,15º Trimestre
1986-phgzf,0,Homem,1,0,0,18,1,1,dsl,1,1,0,0,0,0,month-to-month,1,credit card (automatic),58.4,964.9,1.9466666666666665,7º Trimestre
1987-auelq,0,Mulher,0,1,0,71,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),25.05,1873.7,0.8350000000000001,24º Trimestre
1989-prjhp,1,Homem,1,1,0,27,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,75.5,1893.95,2.5166666666666666,10º Trimestre
1991-vopll,0,Mulher,0,0,0,9,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.05,157.65,0.635,4º Trimestre
1996-dbmus,0,Mulher,1,1,0,48,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),70.65,3545.05,2.355,17º Trimestre
1998-vhjhk,0,Mulher,0,0,0,27,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,mailed check,19.15,501.35,0.6383333333333333,10º Trimestre
2000-dhjuy,0,Mulher,1,1,0,70,1,1,dsl,1,1,1,1,1,1,two year,1,bank transfer (automatic),92.2,6474.45,3.0733333333333333,24º Trimestre
2000-mpkca,0,Mulher,0,0,0,58,1,1,fiber optic,1,1,1,0,1,1,one year,1,electronic check,107.75,6332.75,3.591666666666667,20º Trimestre
2001-ewbqu,0,Mulher,0,0,0,60,1,1,fiber optic,0,1,1,0,1,1,two year,0,electronic check,104.7,6333.8,3.49,21º Trimestre
2001-mcuuw,0,Homem,0,0,0,46,1,1,fiber optic,0,1,1,1,1,1,two year,0,electronic check,108.65,4903.2,3.621666666666667,16º Trimestre
2002-mzhwp,1,Mulher,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,20.5,20.5,0.6833333333333333,1º Trimestre
2003-cklor,1,Homem,0,0,0,66,1,0,fiber optic,0,1,1,0,1,1,month-to-month,0,electronic check,99.5,6710.5,3.316666666666667,23º Trimestre
2004-ocqxk,1,Mulher,0,0,0,1,1,0,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,81.95,81.95,2.731666666666667,1º Trimestre
2005-dwqzj,0,Mulher,0,1,1,8,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,mailed check,19.05,201.7,0.635,3º Trimestre
2007-qvgaw,0,Mulher,0,1,1,68,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,bank transfer (automatic),19.35,1292.65,0.645,23º Trimestre
2011-trqye,1,Homem,0,0,0,18,0,0,dsl,0,1,1,0,0,0,month-to-month,1,credit card (automatic),33.5,600.0,1.1166666666666667,7º Trimestre
2012-nwrpa,1,Mulher,1,1,0,11,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,99.55,1131.2,3.3183333333333334,4º Trimestre
2013-sgdxk,1,Mulher,0,0,0,1,1,0,fiber optic,0,1,0,0,1,0,month-to-month,0,electronic check,84.3,84.3,2.81,1º Trimestre
2014-mkgmh,0,Mulher,0,0,0,46,1,1,fiber optic,0,0,1,0,1,1,one year,1,electronic check,101.1,4674.4,3.3699999999999997,16º Trimestre
2017-ccblh,0,Mulher,0,0,0,8,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,mailed check,20.0,141.6,0.6666666666666666,3º Trimestre
2018-pzkmu,0,Homem,0,1,1,9,1,0,fiber optic,0,0,1,1,1,1,month-to-month,0,electronic check,103.1,970.45,3.4366666666666665,4º Trimestre
2018-qkygt,0,Homem,0,1,1,1,1,0,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,81.05,81.05,2.7016666666666667,1º Trimestre
2019-hdczy,0,Homem,0,1,0,63,1,1,fiber optic,0,0,1,0,1,1,two year,0,electronic check,102.6,6296.75,3.42,22º Trimestre
2023-vqfdl,0,Homem,0,0,0,18,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,electronic check,19.0,348.8,0.6333333333333333,7º Trimestre
2024-baskd,1,Mulher,0,0,0,1,1,0,fiber optic,0,0,1,0,0,0,month-to-month,1,mailed check,74.6,74.6,2.4866666666666664,1º Trimestre
2025-jkfwi,1,Homem,0,0,0,13,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,mailed check,99.0,1301.7,3.3,5º Trimestre
2026-tgdhm,1,Mulher,0,0,0,7,1,0,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,79.3,523.15,2.643333333333333,3º Trimestre
2027-cwdnu,0,Homem,0,1,1,18,1,0,fiber optic,0,0,0,1,0,1,month-to-month,1,electronic check,85.6,1601.5,2.853333333333333,7º Trimestre
2027-dnkiv,0,Homem,0,1,1,37,1,0,dsl,1,0,1,1,0,0,one year,1,mailed check,58.75,2203.1,1.9583333333333333,13º Trimestre
2027-feczv,1,Homem,0,0,0,12,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,106.7,1253.9,3.5566666666666666,5º Trimestre
2027-oaqqc,1,Mulher,0,0,0,43,0,0,dsl,0,0,1,0,1,1,month-to-month,1,bank transfer (automatic),49.05,2076.2,1.635,15º Trimestre
2027-wkxmw,0,Mulher,0,1,0,63,1,1,fiber optic,0,1,1,1,1,1,month-to-month,1,electronic check,108.75,6871.7,3.625,22º Trimestre
2030-btzro,0,Homem,0,1,1,6,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,credit card (automatic),20.4,107.6,0.6799999999999999,3º Trimestre
2034-cgrhz,1,Homem,1,0,0,24,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,credit card (automatic),102.95,2496.7,3.4316666666666666,9º Trimestre
2034-gdrcn,1,Mulher,0,0,0,2,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,90.4,168.2,3.0133333333333336,1º Trimestre
2037-sgxhh,1,Homem,0,1,1,38,1,1,fiber optic,0,1,1,0,1,0,month-to-month,1,electronic check,94.65,3624.3,3.1550000000000002,13º Trimestre
2037-xjfup,1,Homem,0,1,0,33,1,0,fiber optic,0,0,1,0,1,1,one year,1,electronic check,95.8,3036.75,3.1933333333333334,12º Trimestre
2038-llmlm,0,Mulher,0,0,0,48,1,1,fiber optic,0,0,1,1,1,1,month-to-month,1,electronic check,103.85,4946.05,3.4616666666666664,17º Trimestre
2038-oeqzh,0,Homem,0,0,0,4,1,0,fiber optic,0,0,1,0,0,1,month-to-month,0,electronic check,86.05,308.1,2.868333333333333,2º Trimestre
2038-yseze,0,Mulher,0,0,0,29,1,1,dsl,1,1,0,1,0,0,month-to-month,0,mailed check,67.45,1801.1,2.2483333333333335,10º Trimestre
2039-jondj,0,Homem,0,0,0,27,1,0,dsl,1,1,0,0,0,0,one year,0,bank transfer (automatic),55.45,1477.65,1.8483333333333334,10º Trimestre
2040-ldiwq,0,Homem,0,1,1,65,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),84.2,5324.5,2.8066666666666666,22º Trimestre
2040-obmlj,0,Homem,0,0,0,31,1,1,fiber optic,0,0,0,1,0,0,one year,0,credit card (automatic),81.7,2548.65,2.7233333333333336,11º Trimestre
2040-vzike,0,Mulher,0,1,0,49,1,1,fiber optic,1,0,0,0,1,1,month-to-month,1,mailed check,100.85,4847.35,3.3616666666666664,17º Trimestre
2040-xbavj,0,Homem,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,0,bank transfer (automatic),114.45,8100.55,3.815,25º Trimestre
2041-jijci,0,Mulher,0,0,0,5,1,1,dsl,0,1,0,0,0,1,month-to-month,1,electronic check,64.0,370.25,2.1333333333333333,2º Trimestre
2043-wvtqj,0,Homem,0,1,0,1,1,0,dsl,1,0,1,0,0,0,month-to-month,0,mailed check,55.7,55.7,1.8566666666666667,1º Trimestre
2045-bmbtj,0,Mulher,1,0,0,33,0,0,dsl,1,1,1,0,1,1,month-to-month,1,bank transfer (automatic),59.45,1884.65,1.9816666666666667,12º Trimestre
2049-bafnw,0,Mulher,0,0,0,1,0,0,dsl,0,0,1,1,0,0,month-to-month,0,mailed check,35.9,35.9,1.1966666666666665,1º Trimestre
2050-onydq,0,Mulher,0,1,1,65,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),26.0,1654.85,0.8666666666666667,22º Trimestre
2054-pjock,0,Mulher,0,0,0,60,1,1,dsl,0,0,1,1,1,1,one year,0,credit card (automatic),80.55,4847.05,2.685,21º Trimestre
2055-bfocc,0,Homem,1,1,0,63,1,0,dsl,1,1,1,1,1,1,one year,1,bank transfer (automatic),84.0,5329.55,2.8,22º Trimestre
2055-pdadh,1,Mulher,1,0,0,3,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,70.4,204.7,2.3466666666666667,2º Trimestre
2055-sifss,0,Mulher,1,1,0,55,1,1,dsl,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),51.65,2838.55,1.7216666666666667,19º Trimestre
2056-evgzl,0,Homem,0,1,1,68,1,0,fiber optic,0,1,1,1,1,1,one year,0,credit card (automatic),105.75,7322.5,3.525,23º Trimestre
2057-boykm,0,Mulher,1,1,0,72,1,1,fiber optic,1,1,1,1,0,0,two year,1,bank transfer (automatic),96.6,6827.5,3.2199999999999998,25º Trimestre
2057-zblpd,1,Mulher,0,1,0,21,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,86.5,1808.7,2.8833333333333333,8º Trimestre
2058-dcjbe,1,Homem,0,0,0,5,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,69.75,324.6,2.325,2º Trimestre
2061-vvfst,0,Mulher,0,1,0,37,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,bank transfer (automatic),19.5,805.2,0.65,13º Trimestre
2065-mmkgr,0,Mulher,0,0,0,29,1,1,dsl,0,0,0,0,1,1,one year,1,credit card (automatic),71.0,2080.1,2.3666666666666667,10º Trimestre
2067-qytcf,0,Mulher,0,1,0,64,1,1,fiber optic,0,1,1,1,1,1,month-to-month,1,electronic check,111.15,6953.4,3.705,22º Trimestre
2068-wwxqz,0,Homem,0,0,0,46,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),20.05,902.0,0.6683333333333333,16º Trimestre
2070-fnexe,1,Mulher,1,0,0,7,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,bank transfer (automatic),76.45,503.6,2.5483333333333333,3º Trimestre
2070-xymfh,0,Mulher,1,0,0,23,1,1,fiber optic,0,0,1,0,0,0,month-to-month,1,mailed check,79.35,1835.3,2.645,8º Trimestre
2072-zvjjx,0,Homem,0,1,0,68,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),25.25,1728.2,0.8416666666666667,23º Trimestre
2073-qbvbi,0,Mulher,0,1,0,41,0,0,dsl,0,1,0,1,0,0,one year,0,mailed check,35.45,1391.65,1.1816666666666669,14º Trimestre
2074-gkowz,1,Homem,0,1,1,2,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,bank transfer (automatic),89.55,185.55,2.985,1º Trimestre
2074-guhpq,0,Mulher,0,0,1,17,1,1,fiber optic,0,1,1,1,0,0,month-to-month,1,credit card (automatic),92.7,1556.85,3.0900000000000003,6º Trimestre
2075-puepr,0,Homem,0,1,1,55,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),19.35,1153.25,0.645,19º Trimestre
2075-rmjik,0,Mulher,0,1,1,5,1,0,dsl,1,0,0,0,0,0,month-to-month,1,mailed check,49.4,232.55,1.6466666666666667,2º Trimestre
2077-ddhjk,0,Mulher,0,1,0,68,1,1,dsl,1,1,1,1,0,0,two year,0,credit card (automatic),70.9,4911.35,2.3633333333333337,23º Trimestre
2077-mpjqo,0,Homem,1,1,0,7,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,75.4,533.05,2.5133333333333336,3º Trimestre
2079-fbmzk,1,Mulher,0,0,0,6,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,mailed check,69.25,418.4,2.308333333333333,3º Trimestre
2080-caznm,0,Mulher,1,0,0,41,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,104.4,4133.95,3.48,14º Trimestre
2080-gkcwq,0,Homem,0,0,0,2,1,0,fiber optic,0,1,0,0,0,0,month-to-month,0,electronic check,74.95,151.75,2.4983333333333335,1º Trimestre
2080-srcde,0,Mulher,0,0,1,1,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,25.4,25.4,0.8466666666666666,1º Trimestre
2081-kjsqf,0,Homem,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,1,mailed check,20.25,20.25,0.675,1º Trimestre
2081-veyeh,0,Homem,0,0,0,3,1,0,fiber optic,0,1,1,1,1,1,month-to-month,1,electronic check,107.95,318.6,3.5983333333333336,2º Trimestre
2082-ceflt,1,Homem,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,45.6,45.6,1.52,1º Trimestre
2082-ojvtk,1,Homem,0,1,1,29,1,1,fiber optic,0,0,1,0,0,1,month-to-month,1,electronic check,89.2,2698.35,2.9733333333333336,10º Trimestre
2085-bojki,0,Homem,0,1,0,17,1,0,fiber optic,0,0,1,0,1,1,one year,1,bank transfer (automatic),96.65,1588.25,3.2216666666666667,6º Trimestre
2085-jvgad,0,Homem,0,1,0,37,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,bank transfer (automatic),20.35,697.65,0.6783333333333333,13º Trimestre
2087-qarey,0,Mulher,0,1,0,22,1,0,dsl,0,1,1,0,0,0,month-to-month,1,mailed check,54.7,1178.75,1.8233333333333335,8º Trimestre
2088-iebau,0,Mulher,0,0,0,68,1,1,dsl,1,1,1,1,1,1,two year,1,electronic check,88.15,6148.45,2.9383333333333335,23º Trimestre
2091-gppiq,0,Mulher,0,1,1,72,1,1,dsl,0,1,0,1,1,1,two year,1,electronic check,78.95,5730.15,2.631666666666667,25º Trimestre
2091-mjtfx,1,Mulher,0,1,1,30,0,0,dsl,0,0,0,1,1,1,month-to-month,0,credit card (automatic),51.2,1561.5,1.7066666666666668,11º Trimestre
2091-rffba,1,Mulher,1,0,0,31,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,73.9,2217.15,2.4633333333333334,11º Trimestre
2096-xotmo,0,Mulher,0,1,1,16,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.35,275.9,0.645,6º Trimestre
2097-yvpkn,0,Homem,0,0,0,65,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,mailed check,25.75,1654.75,0.8583333333333333,22º Trimestre
2100-bdnsn,1,Mulher,0,1,0,5,1,1,dsl,0,0,1,1,1,0,month-to-month,0,bank transfer (automatic),67.95,350.3,2.265,2º Trimestre
2101-rancd,0,Mulher,0,0,0,55,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,73.1,4144.9,2.4366666666666665,19º Trimestre
2103-zrxfn,0,Homem,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month-to-month,0,mailed check,50.75,50.75,1.6916666666666667,1º Trimestre
2105-phwon,0,Mulher,0,1,0,33,1,1,fiber optic,0,0,1,1,0,1,month-to-month,1,credit card (automatic),95.0,3008.15,3.1666666666666665,12º Trimestre
